,price,quantity,date,vendor,total
0,144.25,430,2025-04-07,biolab,62027.5
1,300.88,2400,2025-11-25,med_express,722112.0
2,300.88,1700,2025-11-21,med_express,511496.0
3,173.7,210,2025-11-18,biolab,36477.0
4,179.74,100,2025-11-18,biolab,17974.0
5,121.55,1340,2025-05-15,standard_test,162877.0
6,116.37,1040,2025-02-10,standard_test,121024.8
7,120.4,1620,2025-02-04,standard_test,195048.0
8,72.22,16170,2025-07-21,eshuer,1167797.4
9,306.34,12900,2025-05-30,med_express,3951786.0
10,162.07,70,2025-01-13,biolab,11344.9
11,157.16,340,2025-09-10,guangzhou_farm,53434.4
12,171.09,160,2025-06-11,biolab,27374.4
13,55.44,8090,2025-02-19,eshuer,448509.6
14,127.3,180,2025-01-28,biolab,22914.0
15,77.6,790,2025-09-09,eshuer,61303.99999999999
16,300.88,3400,2025-07-03,med_express,1022992.0
17,300.88,4100,2025-07-02,med_express,1233608.0
18,38.05,27510,2025-02-04,free,1046755.5
19,146.31,120,2025-02-21,biolab,17557.2
20,98.09,3240,2025-02-07,eshuer,317811.60000000003
21,148.31,40,2025-03-19,standard_test,5932.4
22,110.11,1260,2025-11-26,biolab,138738.6
23,110.11,1260,2025-11-26,biolab,138738.6
24,142.37,250,2025-11-05,standard_test,35592.5
25,142.37,250,2025-11-05,standard_test,35592.5
26,105.03,200,2025-09-29,biolab,21006.0
27,105.03,200,2025-09-29,biolab,21006.0
28,110.11,1260,2025-09-19,biolab,138738.6
29,110.11,1260,2025-09-19,biolab,138738.6
30,105.88,80,2025-08-14,biolab,8470.4
31,105.88,80,2025-08-14,biolab,8470.4
32,177.87,30,2025-08-08,biolab,5336.1
33,177.87,30,2025-08-08,biolab,5336.1
34,300.88,9700,2025-08-15,med_express,2918536.0
35,300.88,9700,2025-08-15,med_express,2918536.0
36,161.69,1860,2025-08-13,biolab,300743.4
37,161.69,1860,2025-08-13,biolab,300743.4
38,143.76,110,2025-06-04,standard_test,15813.6
39,143.76,110,2025-06-04,standard_test,15813.6
40,130.68,80,2025-05-13,standard_test,10454.4
41,130.68,80,2025-05-13,standard_test,10454.4
42,110.11,1260,2025-04-22,biolab,138738.6
43,110.11,1260,2025-04-22,biolab,138738.6
44,118.8,70,2025-04-01,standard_test,8316.0
45,118.8,70,2025-04-01,standard_test,8316.0
46,139.15,40,2025-03-26,standard_test,5566.0
47,139.15,40,2025-03-26,standard_test,5566.0
48,144.23,90,2025-03-20,standard_test,12980.7
49,144.23,90,2025-03-20,standard_test,12980.7
50,156.46,2160,2025-03-24,biolab,337953.60000000003
51,156.46,2160,2025-03-24,biolab,337953.60000000003
52,110.11,80,2025-03-12,biolab,8808.8
53,110.11,80,2025-03-12,biolab,8808.8
54,110.11,1260,2025-03-12,biolab,138738.6
55,110.11,1260,2025-03-12,biolab,138738.6
56,110.11,80,2025-02-04,biolab,8808.8
57,110.11,80,2025-02-04,biolab,8808.8
58,181.91,170,2025-01-22,guangzhou_farm,30924.7
59,181.91,170,2025-01-22,guangzhou_farm,30924.7
60,114.26,1260,2025-01-22,biolab,143967.6
61,114.26,1260,2025-01-22,biolab,143967.6
62,105.88,200,2025-02-10,biolab,21176.0
63,162.38,140,2025-02-06,guangzhou_farm,22733.2
64,300.88,300,2025-04-18,med_express,90264.0
65,100.66,460,2025-02-13,standard_test,46303.6
66,300.88,300,2025-03-21,med_express,90264.0
67,135.52,80,2025-03-03,biolab,10841.6
68,104.69,90,2025-03-07,standard_test,9422.1
69,186.34,1260,2025-09-02,biolab,234788.4
70,154.15,640,2025-08-20,biolab,98656.0
71,154.15,640,2025-06-20,biolab,98656.0
72,300.88,1400,2025-04-24,med_express,421232.0
73,231.0,740,2025-04-24,guangzhou_farm,170940.0
74,148.22,640,2025-03-13,biolab,94860.8
75,159.06,900,2025-03-10,guangzhou_farm,143154.0
76,266.48,22700,2025-11-27,med_express,6049096.0
77,145.13,1180,2025-11-26,standard_test,171253.4
78,54.46,950,2025-11-01,eshuer,51737.0
79,163.22,470,2025-07-15,biolab,76713.4
80,300.88,9000,2025-05-26,med_express,2707920.0
81,300.88,18000,2025-03-18,med_express,5415840.0
82,152.46,100,2025-03-27,biolab,15246.0
83,152.46,40,2025-06-19,biolab,6098.400000000001
84,110.62,190,2025-03-26,standard_test,21017.8
85,300.88,1700,2025-01-09,med_express,511496.0
86,300.88,600,2025-03-07,med_express,180528.0
87,113.0,400,2025-08-21,standard_test,45200.0
88,300.88,300,2025-01-10,med_express,90264.0
89,98.66,510,2025-02-03,eshuer,50316.6
90,80.08,3530,2025-09-17,eshuer,282682.4
91,73.66,990,2025-03-05,eshuer,72923.4
92,206.61,200,2025-02-11,biolab,41322.0
93,111.8,320,2025-09-16,biolab,35776.0
94,121.97,80,2025-04-30,biolab,9757.6
95,90.02,6990,2025-04-22,eshuer,629239.7999999999
96,300.88,4400,2025-03-27,med_express,1323872.0
97,197.64,70,2025-02-14,guangzhou_farm,13834.8
98,247.06,60,2025-02-14,guangzhou_farm,14823.6
99,160.93,50,2025-02-13,biolab,8046.5
100,300.97,1500,2025-10-29,med_express,451455.00000000006
101,295.66,1200,2025-10-27,med_express,354792.00000000006
102,121.0,140,2025-07-21,standard_test,16940.0
103,300.88,300,2025-02-21,med_express,90264.0
104,130.68,300,2025-09-08,standard_test,39204.0
105,130.68,300,2025-04-01,standard_test,39204.0
106,291.62,1300,2025-01-14,med_express,379106.0
107,121.0,230,2025-10-30,standard_test,27830.0
108,300.88,1700,2025-07-15,med_express,511496.0
109,143.58,590,2025-04-15,standard_test,84712.20000000001
110,300.88,1400,2025-04-02,med_express,421232.0
111,197.68,600,2025-11-14,guangzhou_farm,118608.0
112,114.98,4050,2025-09-05,standard_test,465669.0
113,300.88,300,2025-06-16,med_express,90264.0
114,111.8,640,2025-05-27,biolab,71552.0
115,300.88,1700,2025-04-10,med_express,511496.0
116,300.88,1000,2025-01-24,med_express,300880.0
117,133.83,40,2025-03-26,biolab,5353.200000000001
118,135.52,430,2025-11-13,biolab,58273.600000000006
119,127.05,160,2025-02-10,biolab,20328.0
120,164.27,40,2025-11-10,biolab,6570.8
121,300.88,300,2025-09-03,med_express,90264.0
122,134.84,100,2025-07-07,biolab,13484.0
123,136.58,40,2025-01-30,biolab,5463.200000000001
124,139.38,200,2025-09-30,biolab,27876.0
125,152.46,40,2025-03-11,biolab,6098.400000000001
126,142.78,1300,2025-02-17,standard_test,185614.0
127,300.88,1700,2025-05-05,med_express,511496.0
128,148.62,3030,2025-05-05,biolab,450318.6
129,127.05,200,2025-03-13,biolab,25410.0
130,25.08,92180,2025-01-15,free,2311874.4
131,225.62,60,2025-11-07,guangzhou_farm,13537.2
132,25.08,3300,2025-11-07,free,82764.0
133,233.86,30,2025-10-28,guangzhou_farm,7015.8
134,284.4,900,2025-10-23,med_express,255960.0
135,159.92,1410,2025-10-29,guangzhou_farm,225487.2
136,175.26,2350,2025-10-09,guangzhou_farm,411861.0
137,300.88,39200,2025-10-21,med_express,11794496.0
138,50.27,1420,2025-10-13,eshuer,71383.40000000001
139,300.88,300,2025-09-22,med_express,90264.0
140,241.57,3320,2025-09-26,guangzhou_farm,802012.4
141,300.88,700,2025-09-15,med_express,210616.0
142,193.37,5250,2025-09-23,guangzhou_farm,1015192.5
143,262.38,15700,2025-09-01,med_express,4119366.0
144,146.68,3240,2025-08-27,biolab,475243.2
145,300.88,23500,2025-08-19,med_express,7070680.0
146,49.25,410,2025-08-11,free,20192.5
147,25.08,60650,2025-08-08,free,1521102.0
148,259.71,1000,2025-08-15,med_express,259710.0
149,300.88,3400,2025-08-20,med_express,1022992.0
150,146.99,2400,2025-07-31,biolab,352776.0
151,131.84,520,2025-07-24,biolab,68556.8
152,130.71,140,2025-07-14,standard_test,18299.4
153,150.26,360,2025-07-08,guangzhou_farm,54093.6
154,147.62,2630,2025-07-11,standard_test,388240.6
155,229.84,20,2025-06-24,guangzhou_farm,4596.8
156,300.88,3600,2025-06-20,med_express,1083168.0
157,229.84,90,2025-06-09,guangzhou_farm,20685.6
158,117.06,2110,2025-06-09,standard_test,246996.6
159,300.88,700,2025-05-26,med_express,210616.0
160,300.88,1000,2025-05-16,med_express,300880.0
161,300.88,10000,2025-05-13,med_express,3008800.0
162,158.54,1260,2025-05-12,biolab,199760.4
163,300.88,24300,2025-05-14,med_express,7311384.0
164,121.14,160,2025-04-23,biolab,19382.4
165,169.4,80,2025-04-30,biolab,13552.0
166,159.24,80,2025-05-07,biolab,12739.2
167,114.71,2470,2025-04-30,standard_test,283333.7
168,145.4,840,2025-04-30,biolab,122136.0
169,148.82,4050,2025-04-28,standard_test,602721.0
170,227.54,30,2025-04-16,guangzhou_farm,6826.2
171,284.13,700,2025-04-18,med_express,198891.0
172,145.99,29920,2025-04-18,standard_test,4368020.8
173,184.8,9710,2025-04-18,guangzhou_farm,1794408.0
174,145.76,5280,2025-04-17,biolab,769612.7999999999
175,284.13,8100,2025-04-15,med_express,2301453.0
176,141.16,840,2025-04-03,biolab,118574.4
177,121.14,160,2025-03-24,biolab,19382.4
178,185.41,4710,2025-03-29,guangzhou_farm,873281.1
179,300.88,80900,2025-03-21,med_express,24341192.0
180,158.71,16170,2025-03-20,guangzhou_farm,2566340.7
181,246.02,610,2025-03-24,guangzhou_farm,150072.2
182,300.88,35200,2025-03-19,med_express,10590976.0
183,121.14,160,2025-03-11,biolab,19382.4
184,168.27,2160,2025-03-17,biolab,363463.2
185,300.88,3300,2025-03-19,med_express,992904.0
186,146.53,2160,2025-03-14,biolab,316504.8
187,139.06,680,2025-03-03,biolab,94560.8
188,179.28,1010,2025-03-03,biolab,181072.8
189,209.61,180,2025-02-25,biolab,37729.8
190,136.68,5180,2025-02-24,biolab,708002.4
191,179.41,6280,2025-02-20,guangzhou_farm,1126694.8
192,176.38,140,2025-02-13,guangzhou_farm,24693.2
193,78.98,1370,2025-02-10,eshuer,108202.6
194,127.31,11370,2025-02-14,biolab,1447514.7
195,163.47,6040,2025-02-03,biolab,987358.8
196,300.88,3400,2025-02-03,med_express,1022992.0
197,141.03,70,2025-01-21,biolab,9872.1
198,162.4,16170,2025-01-27,guangzhou_farm,2626008.0
199,260.82,11600,2025-03-28,med_express,3025512.0
200,300.88,1700,2025-01-10,med_express,511496.0
201,114.23,1530,2025-02-11,biolab,174771.9
202,143.99,90,2025-09-26,standard_test,12959.1
203,145.2,90,2025-09-24,standard_test,13067.999999999998
204,283.95,2700,2025-01-17,med_express,766665.0
205,204.41,200,2025-01-29,biolab,40882.0
206,168.58,4320,2025-05-19,biolab,728265.6000000001
207,152.46,50,2025-02-19,biolab,7623.0
208,105.04,190,2025-04-11,standard_test,19957.6
209,300.88,2700,2025-03-25,med_express,812376.0
210,93.88,4210,2025-02-14,eshuer,395234.8
211,179.02,140,2025-07-14,guangzhou_farm,25062.800000000003
212,139.47,600,2025-03-21,standard_test,83682.0
213,63.36,20220,2025-06-03,eshuer,1281139.2
214,117.73,100,2025-05-30,biolab,11773.0
215,58.08,13430,2025-05-14,eshuer,780014.4
216,146.75,70,2025-03-14,biolab,10272.5
217,164.44,360,2025-02-13,biolab,59198.4
218,112.2,12490,2025-03-19,standard_test,1401378.0
219,113.5,920,2025-03-03,biolab,104420.0
220,139.43,550,2025-09-10,biolab,76686.5
221,268.88,700,2025-07-17,med_express,188216.0
222,107.15,640,2025-02-20,biolab,68576.0
223,179.98,70,2025-10-09,biolab,12598.6
224,191.37,80,2025-09-17,biolab,15309.6
225,155.42,740,2025-02-05,guangzhou_farm,115010.8
226,85.82,4340,2025-10-16,eshuer,372458.8
227,144.47,400,2025-08-04,standard_test,57788.0
228,104.02,100,2025-07-18,standard_test,10402.0
229,180.18,40,2025-06-30,guangzhou_farm,7207.200000000001
230,281.75,2400,2025-04-16,med_express,676200.0
231,216.84,70,2025-04-14,guangzhou_farm,15178.8
232,237.44,900,2025-04-08,guangzhou_farm,213696.0
233,124.42,1050,2025-04-08,biolab,130641.0
234,135.52,80,2025-06-23,biolab,10841.6
235,110.45,160,2025-01-15,biolab,17672.0
236,143.26,230,2025-04-24,standard_test,32949.8
237,105.23,3310,2025-06-24,standard_test,348311.3
238,139.15,110,2025-04-09,standard_test,15306.5
239,198.11,490,2025-04-01,biolab,97073.9
240,118.8,4320,2025-09-18,standard_test,513216.0
241,300.88,900,2025-10-24,med_express,270792.0
242,300.88,300,2025-08-11,med_express,90264.0
243,229.15,740,2025-04-22,guangzhou_farm,169571.0
244,154.28,90,2025-07-02,guangzhou_farm,13885.2
245,289.7,12600,2025-03-27,med_express,3650220.0
246,114.47,1020,2025-04-08,standard_test,116759.4
247,300.88,15700,2025-06-24,med_express,4723816.0
248,45.54,55800,2025-05-07,free,2541132.0
249,270.66,700,2025-05-05,med_express,189462.00000000003
250,35.68,14570,2025-03-26,free,519857.6
251,300.88,300,2025-02-19,med_express,90264.0
252,140.43,40,2025-02-17,biolab,5617.200000000001
253,116.16,790,2025-10-17,standard_test,91766.4
254,128.74,100,2025-09-23,biolab,12874.0
255,118.8,2030,2025-09-12,standard_test,241164.0
256,158.82,80,2025-09-09,biolab,12705.6
257,137.64,1560,2025-04-11,biolab,214718.4
258,137.64,840,2025-03-25,biolab,115617.6
259,130.68,360,2025-02-26,standard_test,47044.8
260,100.13,280,2025-01-17,standard_test,28036.4
261,133.1,190,2025-09-19,standard_test,25289.0
